regionwb24_hi,incomegroupwb24,group,group2,borrow_any_t_d,fin26a,fin17a_17a1_d,fin17a,fin22a_22a1_22g_d,fin22a,fin24aSD_ND,fin24aP,fin24aN,fin31a_31b,fin30,fin31a,fin31d,fin32_n33_34a,fin32_n33_acc,fin32,fin32_acc,fin34a,fin37_38,fin10,fing2p_acc,fing2p_fin,fing2p,save_any_t_d,account_t_d
South Asia (excluding high income),Lower middle income,all,all,0.5867543781384874,0.03928795306634292,0.166367944887885,0.166367944887885,0.1293071870144134,0.127235000002358,0.48095287260558106,0.7209419323083601,0.27905806769163954,0.026926333337883357,0.4085574977182487,0.019707509686847147,0.3585589517310228,0.024310805044537837,0.0269288135006997,0.21018166207841704,0.038973374556469154,0.03642971442837559,0.1345421547824612,0.00948078684412268,0.07309059506912283,0.050440937529176666,0.15051231760343814,0.413885583817328,0.317436490922018
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.4855508796616995,0.18533643730835073,0.06808210266509926,0.06808210266509929,0.1359355115527347,0.1341620114354048,0.6000495629565304,0.7852034080445053,0.2147965919554951,0.1237754773659506,0.6741880425740101,0.11510902712487309,0.5090032102499156,0.13979838454652493,0.15856027192238253,0.3820256477087196,0.2364575644408976,0.20537357388318395,0.28720606626270595,0.07765867885313671,0.1841317924984365,0.13334119268316624,0.3540617538505535,0.409572064094214,0.586019794713688
High income,High income,all,all,0.581015645245184,0.4608901049009899,0.425753521438096,0.425753521438096,0.48962250126617235,0.48962250126617235,0.7584065528666137,0.7049414112736814,0.29505858872631846,0.514838640268527,0.7567957168849052,0.5126076555186924,0.18566107166893095,0.2969594100898858,0.302559201337399,0.4623285951156828,0.40139296405402103,0.39570551763834333,0.417707230437946,0.54333329808583,0.40927385417066325,0.3359845205980241,0.4947056343507401,0.7041138570683889,0.963061274021685
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.471138245895359,0.06602569796938867,0.07016160290963797,0.070161602909638,0.047417172932303936,0.04741717293230391,0.43974578924348995,0.47428666838854905,0.5257133316114511,0.059243865177668054,0.21131461463618362,0.016757582775849156,0.1378639468854396,0.017141000771529052,0.03005372573332299,0.14894040395500346,0.05087985358769509,0.03628509909848851,0.07475016021353686,0.004685278619743716,0.05056114761158015,0.028059046334379778,0.10206461321277399,0.5592684242155326,0.104639370332736
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.4284785841242128,0.06018566632128575,0.170694121907399,0.17069412190739897,0.1469602263394285,0.14469071592674007,0.543624297359883,0.6711376168286068,0.32886238317139327,0.1327107220630609,0.5374832444983795,0.11967444832652202,0.3816257974552171,0.05287658851824795,0.05553294875459655,0.23807883243741024,0.09330854624313017,0.08795117826348367,0.1112494438588385,0.04135526938100498,0.06443974848743253,0.05894373746365253,0.15689547151189476,0.45593244722799675,0.280291327715447
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.4748567803112649,0.17926376715108305,0.0608404490572953,0.0608404490572953,0.22647862033503693,0.2231500393961604,0.5878665180686204,0.6757469726452301,0.32425302735477013,0.12074731366206806,0.575104745915042,0.09680879198539993,0.43645514924660156,0.06885324870017187,0.09699492716227062,0.2956077122793959,0.17998605365774545,0.1297785975508345,0.2859698981014665,0.11692301685598899,0.23588156436029914,0.16047821222683703,0.34797431123750633,0.29846059513326495,0.56211608335604
Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.4724272575823091,0.14050557457439583,0.164670000194884,0.164670000194884,0.09911611252427147,0.09281081518954382,0.46339603271250795,0.39531999156759073,0.6046800084324093,0.13167899904035713,0.36730327143352326,0.07112192091012068,0.20738918612299564,0.0739847126403454,0.0958758572946504,0.2868983900432611,0.15859109036183058,0.13238543605241296,0.17927893331620792,0.10727639783885001,0.15312193699112864,0.10612500813797357,0.23208124735920543,0.5474425784660818,0.302600142850791
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.42932485376745877,0.2329484344585868,0.102869255665551,0.102869255665551,0.27058570540410987,0.2657509252370847,0.5113954770757494,0.5609966593988879,0.43900334060111224,0.15588048917593378,0.6099157179861031,0.1385633201168698,0.4481351651428034,0.1348053528408137,0.14465540326091086,0.3566279498125796,0.21195190247939238,0.1974968190745735,0.2015321467653853,0.292395205296598,0.20438667429540844,0.1626932463166963,0.26378895430629984,0.3395398538712033,0.55860384771673
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.5101899113285697,0.17166919802846173,0.048000612116721936,0.04800061211672191,0.22090935762820926,0.21857853486045198,0.544137050361377,0.7108296463895291,0.2891703536104712,0.10177635820527864,0.5958100764786181,0.0898084642594244,0.46340844530428804,0.07866368166802662,0.08866957749838389,0.28477291443755937,0.16387738215224568,0.13866089872077036,0.2582813526802734,0.10426717055273099,0.22363853459461838,0.1567343047905002,0.31291900589753646,0.29808326644317373,0.528249019127393
Sub-Saharan Africa (excluding high income),Low income,all,all,0.47879398781865845,0.042148873639341944,0.07914826527073252,0.07914826527073249,0.061153265298738824,0.05985279001391003,0.3521356236636435,0.45004497957014306,0.5499550204298569,0.025250084992829047,0.2197922389373353,0.01757717468726311,0.18290539833450964,0.01844900982727804,0.02272053779554975,0.17314871357328301,0.04051464608308686,0.034045582609773556,0.08705178047106918,0.008034161837190912,0.04542851288444155,0.02332608750188772,0.1159393513164722,0.46545768400251486,0.133530920184137
